id,task,file,severity,status,summary
A001,T01,index.ts,LOW,RESOLVED,"Tool handlers are extracted to lib/tools modules and registry wiring is current."
A002,T01,lib/storage.ts,LOW,RESOLVED,"Storage implementation is split behind a stable facade."
A003,T01,lib/accounts.ts,LOW,RESOLVED,"Account manager is a slim orchestrator over focused account modules."
C001,T12,lib/tools/codex-remove.ts,HIGH,RESOLVED,"Account removal requires confirm=true and guidance includes the confirmation argument."
C002,T12,lib/tools/codex-export.ts,HIGH,RESOLVED,"Export overwrite defaults to force=false at the tool layer."
C003,T11,config/minimal-opencode.json,HIGH,RESOLVED,"Minimal config includes reasoning.encrypted_content."
C004,T12,lib/tools/codex-help.ts,HIGH,RESOLVED,"Help topic matching is exact rather than substring based."
M001,T04,lib/request/request-transformer.ts,MEDIUM,CURRENT,"Request transformer remains a large multi-domain module."
M002,T04,lib/request/fetch-helpers.ts,MEDIUM,CURRENT,"Fetch helpers combine retry, auth, rewrite, and error classification."
M003,T06,lib/storage/load-save.ts,MEDIUM,CURRENT,"Largest storage modules may need future focused splits."
M004,T13,vitest.config.ts,MEDIUM,CURRENT,"Branch coverage is below the aspirational 80 percent floor; executable thresholds are calibrated to current coverage."
L001,T13,test/doc-parity.test.ts,LOW,RESOLVED,"Current-structure parity tests guard future drift."
